,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,propRelevantSignalsInVocab,receiverIntentionDict
3257,"(4, 0)","(4, 7)",green circle,"['green', 'circle', 'square', 'red']","{(6, 5): 'red square', (2, 9): 'green circle'}",2,1.0,"{'square': 'red square', 'circle': 'green circle', 'red': 'red square', 'green': 'green circle'}"
3258,"(4, 0)","(4, 7)",green square,"['red', 'circle', 'triangle', 'green', 'square', 'purple']","{(8, 7): 'red triangle', (3, 0): 'purple circle', (7, 8): 'red square', (4, 4): 'green square', (5, 2): 'purple triangle', (2, 1): 'purple square'}",6,1.0,"{'triangle': 'red triangle', 'square': 'red square', 'circle': 'purple circle', 'red': 'red square', 'purple': 'purple triangle', 'green': 'green square'}"
3259,"(4, 0)","(4, 7)",purple circle,"['green', 'square', 'circle', 'triangle', 'red', 'purple']","{(0, 6): 'red circle', (0, 5): 'green square', (4, 3): 'red triangle', (1, 5): 'purple square', (4, 5): 'green circle', (8, 6): 'red square', (7, 6): 'purple triangle', (7, 8): 'purple circle', (1, 0): 'green triangle'}",9,1.0,"{'triangle': 'purple triangle', 'square': 'purple square', 'circle': 'purple circle', 'red': 'red square', 'purple': 'purple square', 'green': 'green square'}"
3261,"(4, 0)","(4, 7)",red circle,"['purple', 'green', 'square', 'red', 'triangle', 'circle']","{(3, 0): 'red square', (8, 8): 'green triangle', (8, 6): 'purple square', (5, 6): 'green square', (3, 7): 'green circle', (1, 0): 'purple circle', (2, 4): 'red circle', (7, 9): 'red triangle'}",8,1.0,"{'triangle': 'red triangle', 'square': 'green square', 'circle': 'green circle', 'red': 'red triangle', 'purple': 'purple square', 'green': 'green triangle'}"
3263,"(4, 0)","(4, 7)",green square,"['circle', 'purple', 'square', 'green', 'triangle', 'red']","{(2, 7): 'red square', (7, 4): 'green square', (6, 2): 'purple square', (3, 6): 'purple triangle', (2, 4): 'red triangle', (7, 2): 'red circle', (7, 7): 'green circle'}",7,1.0,"{'triangle': 'red triangle', 'square': 'green square', 'circle': 'green circle', 'red': 'red square', 'purple': 'purple triangle', 'green': 'green square'}"
3264,"(4, 0)","(4, 7)",green triangle,"['purple', 'triangle', 'red', 'circle', 'square', 'green']","{(1, 5): 'red circle', (3, 2): 'red square', (2, 6): 'red triangle', (3, 6): 'green triangle', (5, 6): 'green circle', (8, 8): 'green square', (1, 1): 'purple circle', (6, 2): 'purple square', (7, 9): 'purple triangle'}",9,1.0,"{'triangle': 'green triangle', 'square': 'green square', 'circle': 'green circle', 'red': 'red triangle', 'purple': 'purple triangle', 'green': 'green triangle'}"
3266,"(4, 0)","(4, 7)",red circle,"['triangle', 'green', 'square', 'purple', 'red', 'circle']","{(7, 4): 'red triangle', (0, 3): 'purple square', (1, 8): 'red circle', (7, 2): 'green triangle', (5, 3): 'purple circle'}",5,1.0,"{'triangle': 'red triangle', 'square': 'purple square', 'circle': 'red circle', 'red': 'purple circle', 'purple': 'purple circle', 'green': 'green triangle'}"
3267,"(4, 0)","(4, 7)",red square,"['red', 'triangle', 'green', 'purple', 'circle', 'square']","{(3, 8): 'red square', (5, 7): 'purple circle', (4, 1): 'green triangle'}",3,1.0,"{'triangle': 'green triangle', 'square': 'red square', 'circle': 'purple circle', 'red': 'red square', 'purple': 'purple circle', 'green': 'green triangle'}"
3269,"(4, 0)","(4, 7)",purple circle,"['square', 'red', 'green', 'purple', 'circle', 'triangle']","{(3, 8): 'purple circle', (3, 9): 'red circle', (1, 9): 'green triangle', (6, 6): 'purple square', (2, 8): 'red triangle', (7, 7): 'purple triangle'}",6,1.0,"{'triangle': 'purple triangle', 'square': 'purple square', 'circle': 'purple circle', 'red': 'red triangle', 'purple': 'purple triangle', 'green': 'green triangle'}"
3270,"(4, 0)","(4, 7)",red circle,"['purple', 'circle', 'green', 'red']","{(7, 4): 'purple circle', (7, 6): 'green circle', (4, 6): 'red circle'}",3,1.0,"{'circle': 'purple circle', 'red': 'red circle', 'purple': 'purple circle', 'green': 'green circle'}"
