,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,propRelevantSignalsInVocab,RSA_S0R0_sChoice,RSA_S0R0_rChoice,RSA_S0R0_sAchievesGoal,RSA_S0R0_rAchievesGoal,RSA_S0R0_goalAchieved,RSA_S0R0_utility,RSA_S0R1_sChoice,RSA_S0R1_rChoice,RSA_S0R1_sAchievesGoal,RSA_S0R1_rAchievesGoal,RSA_S0R1_goalAchieved,RSA_S0R1_utility,RSA_S0R2_sChoice,RSA_S0R2_rChoice,RSA_S0R2_sAchievesGoal,RSA_S0R2_rAchievesGoal,RSA_S0R2_goalAchieved,RSA_S0R2_utility,IW_S1R1_sChoice,IW_S1R1_rChoice,IW_S1R1_sAchievesGoal,IW_S1R1_rAchievesGoal,IW_S1R1_goalAchieved,IW_S1R1_utility,CentralControl_utility,CentralControl_actor,DIYSignaler_utility
0,"(4, 0)","(4, 7)",purple circle,"['red', 'square', 'triangle', 'purple', 'circle', 'green']","{(3, 8): 'green circle', (8, 3): 'purple circle', (7, 8): 'purple triangle', (1, 1): 'green square', (3, 6): 'red circle'}",5,1.0,circle,purple circle,False,True,True,7,purple,purple circle,False,True,True,7,purple,purple circle,False,True,True,7,purple circle,,True,False,True,8,8,signaler,8
1,"(4, 0)","(4, 7)",purple circle,"['circle', 'purple', 'triangle', 'green']","{(8, 5): 'green triangle', (6, 6): 'purple circle'}",2,1.0,purple,purple circle,False,True,True,12,circle,purple circle,False,True,True,12,circle,purple circle,False,True,True,12,circle,purple circle,False,True,True,12,12,receiver,7
2,"(4, 0)","(4, 7)",red circle,"['triangle', 'red', 'circle', 'purple', 'green', 'square']","{(0, 3): 'purple triangle', (6, 7): 'red square', (2, 4): 'green square', (5, 8): 'red circle'}",4,1.0,red,red square,False,False,False,-2,circle,red circle,False,True,True,13,circle,red circle,False,True,True,13,circle,red circle,False,True,True,13,13,receiver,6
3,"(4, 0)","(4, 7)",purple square,"['square', 'purple', 'triangle', 'green']","{(7, 6): 'green triangle', (1, 1): 'purple square'}",2,1.0,square,purple square,False,True,True,6,purple,purple square,False,True,True,6,purple,purple square,False,True,True,6,purple square,,True,False,True,11,11,signaler,11
4,"(4, 0)","(4, 7)",red square,"['green', 'red', 'square', 'circle', 'purple', 'triangle']","{(0, 1): 'red square', (7, 3): 'purple square', (3, 2): 'green circle', (1, 5): 'red circle', (7, 6): 'red triangle', (3, 1): 'green triangle', (1, 0): 'purple circle', (5, 3): 'green square'}",8,1.0,red,red square,False,True,True,5,square,red square,False,True,True,5,square,green square,False,False,False,-5,red square,,True,False,True,10,10,signaler,10
5,"(4, 0)","(4, 7)",purple triangle,"['square', 'red', 'purple', 'green', 'triangle', 'circle']","{(0, 5): 'purple triangle', (4, 3): 'purple square', (5, 0): 'red circle', (2, 9): 'green triangle', (3, 0): 'green square', (1, 0): 'red triangle'}",6,1.0,purple,purple triangle,False,True,True,9,triangle,purple triangle,False,True,True,9,triangle,green triangle,False,False,False,-4,purple,purple triangle,False,True,True,9,9,receiver,6
6,"(4, 0)","(4, 7)",green square,"['square', 'red', 'purple', 'triangle', 'green', 'circle']","{(8, 9): 'red circle', (7, 5): 'purple square', (1, 6): 'green triangle', (3, 3): 'green square', (2, 2): 'purple circle', (1, 0): 'purple triangle'}",6,1.0,green,green square,False,True,True,10,square,purple square,False,False,False,-5,green,green triangle,False,False,False,-4,green square,,True,False,True,11,11,signaler,11
7,"(4, 0)","(4, 7)",red triangle,"['green', 'purple', 'triangle', 'circle', 'red']","{(5, 9): 'red triangle', (4, 2): 'green triangle', (6, 5): 'purple triangle', (5, 3): 'green circle'}",4,1.0,triangle,purple triangle,False,False,False,-4,red,red triangle,False,True,True,12,triangle,green triangle,False,False,False,-5,red,red triangle,False,True,True,12,12,receiver,5
8,"(4, 0)","(4, 7)",red triangle,"['square', 'purple', 'triangle', 'circle', 'green', 'red']","{(8, 9): 'purple square', (4, 1): 'red circle', (7, 5): 'red square', (7, 0): 'green circle', (3, 6): 'purple triangle', (4, 9): 'green triangle', (3, 4): 'red triangle', (0, 2): 'purple circle', (8, 4): 'green square'}",9,1.0,red,red square,False,False,False,-5,red,red square,False,False,False,-5,triangle,red triangle,False,True,True,11,red triangle,,True,False,True,10,11,receiver,10
9,"(4, 0)","(4, 7)",green square,"['circle', 'purple', 'square', 'red', 'triangle', 'green']","{(8, 9): 'red square', (2, 3): 'green square', (4, 6): 'purple square', (2, 8): 'red triangle', (4, 4): 'green circle', (4, 1): 'red circle', (7, 7): 'green triangle', (2, 4): 'purple circle'}",8,1.0,green,green circle,False,False,False,-3,green,green circle,False,False,False,-3,square,red square,False,False,False,-6,green square,,True,False,True,10,10,signaler,10
