,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,barrier,abstractSetup,receiverIntentionDict,revTargetDict,barrierDict,recTraj,recActSeq,sigTraj,sigActSeq,trialStrategy
0,"(4, 0)","(4, 7)",red triangle,"['triangle', 'square', 'red', 'green']","{(5, 1): 'green triangle', (0, 9): 'red square', (2, 8): 'red triangle'}",5,R,"{'receiver': ['A1', 'B1'], 'signaler': ['B2'], 'flipped': []}","{'triangle': 'red triangle', 'square': 'red square', 'red': 'red square', 'green': 'green triangle'}","{'green triangle': (5, 1), 'red square': (0, 9), 'red triangle': (2, 8)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'green triangle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (3, 1), (4, 1), (5, 1)], 'red square': [(4, 7), (4, 8), (4, 9), (3, 9), (2, 9), (1, 9), (0, 9)], 'red triangle': [(4, 7), (3, 7), (2, 7), (2, 8)]}","{'green triangle': ['down', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right'], 'red square': ['up', 'up', 'left', 'left', 'left', 'left'], 'red triangle': ['left', 'left', 'up']}","{'green triangle': [(4, 0), (4, 1), (5, 1)], 'red square': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)], 'red triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8)]}","{'green triangle': ['up', 'right'], 'red square': ['left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'red triangle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up']}",triangle
4,"(4, 0)","(4, 7)",red square,"['green', 'red', 'purple', 'circle', 'triangle', 'square']","{(1, 2): 'purple triangle', (5, 0): 'green triangle', (0, 5): 'red circle', (8, 9): 'green circle', (7, 3): 'red square'}",5,R,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'green': 'green circle', 'red': 'red circle', 'purple': 'purple triangle', 'circle': 'green circle', 'triangle': 'purple triangle', 'square': 'red square'}","{'purple triangle': (1, 2), 'green triangle': (5, 0), 'red circle': (0, 5), 'green circle': (8, 9), 'red square': (7, 3)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'purple triangle': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2)], 'green triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0), (3, 0), (4, 0), (5, 0)], 'red circle': [(4, 7), (3, 7), (2, 7), (1, 7), (0, 7), (0, 6), (0, 5)], 'green circle': [(4, 7), (4, 8), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9)], 'red square': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3)]}","{'purple triangle': ['left', 'left', 'left', 'down', 'down', 'down', 'down', 'down'], 'green triangle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right'], 'red circle': ['left', 'left', 'left', 'left', 'down', 'down'], 'green circle': ['up', 'up', 'right', 'right', 'right', 'right'], 'red square': ['left', 'left', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right']}","{'purple triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (1, 2)], 'green triangle': [(4, 0), (5, 0)], 'red circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5), (0, 5)], 'green circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9)], 'red square': [(4, 0), (4, 1), (4, 2), (4, 3), (5, 3), (6, 3), (7, 3)]}","{'purple triangle': ['up', 'up', 'left', 'left', 'left'], 'green triangle': ['right'], 'red circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left'], 'green circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'red square': ['up', 'up', 'up', 'right', 'right', 'right']}",do
1,"(4, 0)","(4, 7)",green square,"['green', 'purple', 'square', 'triangle']","{(6, 1): 'green triangle', (5, 9): 'purple square', (1, 9): 'green square'}",5,S,"{'receiver': ['A1', 'B1'], 'signaler': ['B2'], 'flipped': []}","{'green': 'green square', 'purple': 'purple square', 'square': 'green square', 'triangle': 'green triangle'}","{'green triangle': (6, 1), 'purple square': (5, 9), 'green square': (1, 9)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'green triangle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1)], 'purple square': [(4, 7), (5, 7), (5, 8), (5, 9)], 'green square': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 8), (1, 9)]}","{'green triangle': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'right'], 'purple square': ['right', 'up', 'up'], 'green square': ['left', 'left', 'left', 'up', 'up']}","{'green triangle': [(4, 0), (5, 0), (6, 0), (6, 1)], 'purple square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9)], 'green square': [(4, 0), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9)]}","{'green triangle': ['right', 'right', 'up'], 'purple square': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'green square': ['left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']}",green
5,"(4, 0)","(4, 7)",red square,"['green', 'red', 'purple', 'circle', 'triangle', 'square']","{(1, 2): 'purple triangle', (5, 0): 'green triangle', (0, 5): 'red circle', (8, 9): 'green circle', (7, 3): 'red square'}",5,S,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'green': 'green circle', 'red': 'red circle', 'purple': 'purple triangle', 'circle': 'red circle', 'triangle': 'purple triangle', 'square': 'red square'}","{'purple triangle': (1, 2), 'green triangle': (5, 0), 'red circle': (0, 5), 'green circle': (8, 9), 'red square': (7, 3)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'purple triangle': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2)], 'green triangle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (2, 1), (2, 0), (3, 0), (4, 0), (5, 0)], 'red circle': [(4, 7), (3, 7), (2, 7), (1, 7), (0, 7), (0, 6), (0, 5)], 'green circle': [(4, 7), (4, 8), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9)], 'red square': [(4, 7), (5, 7), (6, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3)]}","{'purple triangle': ['left', 'left', 'left', 'down', 'down', 'down', 'down', 'down'], 'green triangle': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'down', 'down', 'right', 'right', 'right'], 'red circle': ['left', 'left', 'left', 'left', 'down', 'down'], 'green circle': ['up', 'up', 'right', 'right', 'right', 'right'], 'red square': ['right', 'right', 'right', 'down', 'down', 'down', 'down']}","{'purple triangle': [(4, 0), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2)], 'green triangle': [(4, 0), (5, 0)], 'red circle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (1, 5), (0, 5)], 'green circle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9)], 'red square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3)]}","{'purple triangle': ['left', 'left', 'left', 'up', 'up'], 'green triangle': ['right'], 'red circle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'left', 'left'], 'green circle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'red square': ['left', 'left', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right']}",square
2,"(4, 0)","(4, 7)",purple circle,"['green', 'purple', 'circle', 'square', 'triangle']","{(5, 9): 'purple circle', (0, 6): 'purple triangle', (1, 5): 'purple square', (1, 9): 'green circle'}",5,R,"{'receiver': ['A1', 'A2', 'A3', 'B1'], 'signaler': [], 'flipped': []}","{'green': 'green circle', 'purple': 'purple circle', 'circle': 'purple circle', 'square': 'purple square', 'triangle': 'purple triangle'}","{'purple circle': (5, 9), 'purple triangle': (0, 6), 'purple square': (1, 5), 'green circle': (1, 9)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'purple circle': [(4, 7), (5, 7), (5, 8), (5, 9)], 'purple triangle': [(4, 7), (4, 6), (3, 6), (2, 6), (1, 6), (0, 6)], 'purple square': [(4, 7), (4, 6), (3, 6), (2, 6), (1, 6), (1, 5)], 'green circle': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 8), (1, 9)]}","{'purple circle': ['right', 'up', 'up'], 'purple triangle': ['down', 'left', 'left', 'left', 'left'], 'purple square': ['down', 'left', 'left', 'left', 'down'], 'green circle': ['left', 'left', 'left', 'up', 'up']}","{'purple circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5), (0, 5), (0, 6)], 'purple square': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5)], 'green circle': [(4, 0), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9)]}","{'purple circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'purple triangle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left', 'up'], 'purple square': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left'], 'green circle': ['left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']}",circle
6,"(4, 0)","(4, 7)",purple triangle,"['red', 'purple', 'green', 'triangle', 'square', 'circle']","{(3, 0): 'green square', (4, 6): 'purple triangle', (3, 9): 'purple circle', (0, 7): 'red circle', (7, 3): 'red triangle'}",5,R,"{'receiver': ['A1', 'A2', 'B2'], 'signaler': ['C3'], 'flipped': ['B1']}","{'red': 'red circle', 'purple': 'purple circle', 'green': 'green square', 'triangle': 'purple triangle', 'square': 'green square', 'circle': 'purple circle'}","{'green square': (3, 0), 'purple triangle': (4, 6), 'purple circle': (3, 9), 'red circle': (0, 7), 'red triangle': (7, 3)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'green square': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0), (3, 0)], 'purple triangle': [(4, 7), (4, 6)], 'purple circle': [(4, 7), (3, 7), (3, 8), (3, 9)], 'red circle': [(4, 7), (3, 7), (2, 7), (1, 7), (0, 7)], 'red triangle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3)]}","{'green square': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'right'], 'purple triangle': ['down'], 'purple circle': ['left', 'up', 'up'], 'red circle': ['left', 'left', 'left', 'left'], 'red triangle': ['down', 'left', 'left', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right']}","{'green square': [(4, 0), (3, 0)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (3, 6), (4, 6)], 'purple circle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9)], 'red circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5), (0, 5), (0, 6), (0, 7)], 'red triangle': [(4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (7, 2), (7, 3)]}","{'green square': ['left'], 'purple triangle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'right', 'right'], 'purple circle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right'], 'red circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left', 'up', 'up'], 'red triangle': ['right', 'right', 'right', 'up', 'up', 'up']}",triangle
3,"(4, 0)","(4, 7)",green triangle,"['purple', 'green', 'triangle', 'circle', 'square']","{(8, 7): 'green triangle', (3, 7): 'green square', (4, 8): 'green circle', (3, 8): 'purple triangle'}",5,S,"{'receiver': ['A1', 'A2', 'A3', 'B1'], 'signaler': [], 'flipped': []}","{'purple': 'purple triangle', 'green': 'green triangle', 'triangle': 'green triangle', 'circle': 'green circle', 'square': 'green square'}","{'green triangle': (8, 7), 'green square': (3, 7), 'green circle': (4, 8), 'purple triangle': (3, 8)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'green triangle': [(4, 7), (5, 7), (6, 7), (7, 7), (8, 7)], 'green square': [(4, 7), (3, 7)], 'green circle': [(4, 7), (4, 8)], 'purple triangle': [(4, 7), (3, 7), (3, 8)]}","{'green triangle': ['right', 'right', 'right', 'right'], 'green square': ['left'], 'green circle': ['up'], 'purple triangle': ['left', 'up']}","{'green triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7)], 'green square': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 7)], 'green circle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (4, 8)], 'purple triangle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8)]}","{'green triangle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'green square': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'right'], 'green circle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right'], 'purple triangle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right']}",triangle
8,"(4, 0)","(4, 7)",green triangle,"['square', 'triangle', 'circle', 'green', 'purple', 'red']","{(1, 9): 'green triangle', (2, 5): 'red triangle', (5, 6): 'purple triangle', (1, 6): 'green square', (4, 3): 'green circle'}",5,R,"{'receiver': ['A1', 'A2', 'A3', 'B1'], 'signaler': [], 'flipped': ['C1']}","{'square': 'green square', 'triangle': 'green triangle', 'circle': 'green circle', 'green': 'green triangle', 'purple': 'purple triangle', 'red': 'red triangle'}","{'green triangle': (1, 9), 'red triangle': (2, 5), 'purple triangle': (5, 6), 'green square': (1, 6), 'green circle': (4, 3)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'green triangle': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 8), (1, 9)], 'red triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5)], 'purple triangle': [(4, 7), (4, 6), (5, 6)], 'green square': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 6)], 'green circle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3)]}","{'green triangle': ['left', 'left', 'left', 'up', 'up'], 'red triangle': ['left', 'left', 'down', 'down'], 'purple triangle': ['down', 'right'], 'green square': ['left', 'left', 'left', 'down'], 'green circle': ['left', 'left', 'down', 'down', 'down', 'down', 'right', 'right']}","{'green triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9)], 'red triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6)], 'green square': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5), (1, 6)], 'green circle': [(4, 0), (4, 1), (4, 2), (4, 3)]}","{'green triangle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'up', 'up', 'up', 'up'], 'red triangle': ['up', 'up', 'up', 'up', 'up', 'left', 'left'], 'purple triangle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'right', 'right', 'right'], 'green square': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'up'], 'green circle': ['up', 'up', 'up']}",green
7,"(4, 0)","(4, 7)",purple triangle,"['red', 'purple', 'green', 'triangle', 'square', 'circle']","{(3, 0): 'green square', (4, 6): 'purple triangle', (3, 9): 'purple circle', (0, 7): 'red circle', (7, 3): 'red triangle'}",5,S,"{'receiver': ['A1', 'A2', 'B2'], 'signaler': ['C3'], 'flipped': ['B1']}","{'red': 'red triangle', 'purple': 'purple triangle', 'green': 'green square', 'triangle': 'red triangle', 'square': 'green square', 'circle': 'red circle'}","{'green square': (3, 0), 'purple triangle': (4, 6), 'purple circle': (3, 9), 'red circle': (0, 7), 'red triangle': (7, 3)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'green square': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0), (3, 0)], 'purple triangle': [(4, 7), (4, 6)], 'purple circle': [(4, 7), (3, 7), (3, 8), (3, 9)], 'red circle': [(4, 7), (3, 7), (2, 7), (1, 7), (0, 7)], 'red triangle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (5, 3), (6, 3), (7, 3)]}","{'green square': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'right'], 'purple triangle': ['down'], 'purple circle': ['left', 'up', 'up'], 'red circle': ['left', 'left', 'left', 'left'], 'red triangle': ['down', 'down', 'down', 'down', 'right', 'right', 'right']}","{'green square': [(4, 0), (3, 0)], 'purple triangle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6)], 'purple circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9)], 'red circle': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7)], 'red triangle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3)]}","{'green square': ['left'], 'purple triangle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right'], 'purple circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right'], 'red circle': ['left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'red triangle': ['left', 'left', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right']}",ambiguous
9,"(4, 0)","(4, 7)",green triangle,"['square', 'triangle', 'circle', 'green', 'purple', 'red']","{(1, 9): 'green triangle', (2, 5): 'red triangle', (5, 6): 'purple triangle', (1, 6): 'green square', (4, 3): 'green circle'}",5,S,"{'receiver': ['A1', 'A2', 'A3', 'B1'], 'signaler': [], 'flipped': ['C1']}","{'square': 'green square', 'triangle': 'green triangle', 'circle': 'green circle', 'green': 'green triangle', 'purple': 'purple triangle', 'red': 'red triangle'}","{'green triangle': (1, 9), 'red triangle': (2, 5), 'purple triangle': (5, 6), 'green square': (1, 6), 'green circle': (4, 3)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'green triangle': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 8), (1, 9)], 'red triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5)], 'purple triangle': [(4, 7), (5, 7), (5, 6)], 'green square': [(4, 7), (4, 6), (3, 6), (2, 6), (1, 6)], 'green circle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3)]}","{'green triangle': ['left', 'left', 'left', 'up', 'up'], 'red triangle': ['left', 'left', 'down', 'down'], 'purple triangle': ['right', 'down'], 'green square': ['down', 'left', 'left', 'left'], 'green circle': ['down', 'down', 'down', 'down']}","{'green triangle': [(4, 0), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9)], 'red triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6)], 'green square': [(4, 0), (3, 0), (3, 1), (3, 2), (2, 2), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6)], 'green circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (3, 3), (4, 3)]}","{'green triangle': ['left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'red triangle': ['up', 'up', 'left', 'left', 'up', 'up', 'up'], 'purple triangle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'green square': ['left', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'up'], 'green circle': ['up', 'up', 'left', 'left', 'up', 'right', 'right']}",ambiguous
